Title,Genre,Year,Rating
Kingsman: The Golden Circle,"['Action', 'Adventure', 'Comedy']",2017,6.7
Wonder Woman,"['Action', 'Adventure', 'Fantasy']",2017,7.4
Knowing,"['Action', 'Mystery', 'Sci-Fi']",2009,6.2
Mortal Kombat,"['Action', 'Adventure', 'Fantasy']",2021,6.1
Zombieland,"['Action', 'Comedy', 'Horror']",2009,7.6
El Camino: A Breaking Bad Movie,"['Action', 'Crime', 'Drama']",2019,7.3
The Magnificent Seven,"['Action', 'Adventure', 'Western']",2016,6.8
The Other Guys,"['Action', 'Comedy', 'Crime']",2010,6.6
Transformers: Rise of the Beasts,"['Action', 'Adventure', 'Sci-Fi']",2023,0
Hellboy,"['Action', 'Adventure', 'Fantasy']",2019,5.2
The Maze Runner,"['Action', 'Mystery', 'Sci-Fi']",2014,6.8
Raya and the Last Dragon,"['Animation', 'Action', 'Adventure']",2021,7.3
Men in Black,"['Action', 'Adventure', 'Comedy']",1997,7.3
Shazam! Fury of the Gods,"['Action', 'Adventure', 'Comedy']",2022,0
Midnight in the Switchgrass,"['Action', 'Crime', 'Thriller']",2021,4.4
Army of the Dead,"['Action', 'Crime', 'Horror']",2021,5.7
Hitman's Wife's Bodyguard,"['Action', 'Comedy', 'Crime']",2021,6.1
Scott Pilgrim vs. the World,"['Action', 'Comedy', 'Fantasy']",2010,7.5
Captain America: Civil War,"['Action', 'Adventure', 'Sci-Fi']",2016,7.8
The Hitman's Bodyguard,"['Action', 'Comedy', 'Crime']",2017,6.9
The Predator,"['Action', 'Adventure', 'Sci-Fi']",2018,5.3
Quantum of Solace,"['Action', 'Adventure', 'Thriller']",2008,6.6
Days of Thunder,"['Action', 'Drama', 'Sport']",1990,6
Knight and Day,"['Action', 'Adventure', 'Comedy']",2010,6.3
Taken,"['Action', 'Crime', 'Thriller']",2008,7.8
The Mask,"['Action', 'Comedy', 'Crime']",1994,6.9
The Fugitive,"['Action', 'Crime', 'Drama']",1993,7.8
Thor: The Dark World,"['Action', 'Adventure', 'Fantasy']",2013,6.8
Gods of Egypt,"['Action', 'Adventure', 'Fantasy']",2016,5.4
Batgirl,"['Action', 'Adventure', 'Crime']",2022,0
Rush,"['Action', 'Biography', 'Drama']",2013,8.1
Extraction,"['Action', 'Thriller']",2020,6.7
The Rock,"['Action', 'Adventure', 'Thriller']",1996,7.4
World War Z,"['Action', 'Adventure', 'Horror']",2013,7
Battleship,"['Action', 'Adventure', 'Sci-Fi']",2012,5.8
K.G.F: Chapter 1,"['Action', 'Crime', 'Drama']",2018,8.2
Attack,"['Action', 'Sci-Fi', 'Thriller']",2022,7
Batman & Robin,"['Action', 'Sci-Fi']",1997,3.7
The Tourist,"['Action', 'Thriller']",2010,6
Alita: Battle Angel,"['Action', 'Adventure', 'Sci-Fi']",2019,7.3
Batman Returns,"['Action', 'Crime', 'Fantasy']",1992,7.1
In Time,"['Action', 'Sci-Fi', 'Thriller']",2011,6.7
The Equalizer,"['Action', 'Crime', 'Thriller']",2014,7.2
Argylle,['Action'],2022,0
V for Vendetta,"['Action', 'Drama', 'Sci-Fi']",2005,8.2
The Siege of Robin Hood,"['Action', 'Adventure', 'Fantasy']",2022,2.6
The Bourne Identity,"['Action', 'Mystery', 'Thriller']",2002,7.9
Point Break,"['Action', 'Crime', 'Thriller']",1991,7.2
Power Rangers,"['Action', 'Adventure', 'Fantasy']",2017,5.9
Sucker Punch,"['Action', 'Adventure', 'Fantasy']",2011,6
X-Men,"['Action', 'Adventure', 'Sci-Fi']",2000,7.3
Don't Breathe 2,"['Action', 'Crime', 'Thriller']",2021,6
Army of Thieves,"['Action', 'Comedy', 'Crime']",2021,6.4
Superman,"['Action', 'Adventure', 'Sci-Fi']",1978,7.4
The Incredible Hulk,"['Action', 'Adventure', 'Sci-Fi']",2008,6.6
Highlander,"['Action', 'Adventure', 'Fantasy']",1986,7.1
Kaithi,"['Action', 'Crime', 'Thriller']",2019,8.5
Kingdom of Heaven,"['Action', 'Adventure', 'Drama']",2005,7.2
Greenland,"['Action', 'Drama', 'Sci-Fi']",2020,6.4
The Legend of Tarzan,"['Action', 'Adventure', 'Drama']",2016,6.2
